Country Name,Country Code,Indicator Name,Year,Value
France,FRA,"Unemployment, total (% of total labor force)",1964,
French Polynesia,PYF,"Unemployment, total (% of total labor force)",1964,
Gabon,GAB,"Unemployment, total (% of total labor force)",1964,
"Gambia, The",GMB,"Unemployment, total (% of total labor force)",1964,
Georgia,GEO,"Unemployment, total (% of total labor force)",1964,
Germany,DEU,"Unemployment, total (% of total labor force)",1964,
Ghana,GHA,"Unemployment, total (% of total labor force)",1964,
Gibraltar,GIB,"Unemployment, total (% of total labor force)",1964,
Greece,GRC,"Unemployment, total (% of total labor force)",1964,
Greenland,GRL,"Unemployment, total (% of total labor force)",1964,
Grenada,GRD,"Unemployment, total (% of total labor force)",1964,
Guam,GUM,"Unemployment, total (% of total labor force)",1964,
Guatemala,GTM,"Unemployment, total (% of total labor force)",1964,
Guinea,GIN,"Unemployment, total (% of total labor force)",1964,
Guinea-Bissau,GNB,"Unemployment, total (% of total labor force)",1964,
Guyana,GUY,"Unemployment, total (% of total labor force)",1964,
Haiti,HTI,"Unemployment, total (% of total labor force)",1964,
Honduras,HND,"Unemployment, total (% of total labor force)",1964,
"Hong Kong SAR, China",HKG,"Unemployment, total (% of total labor force)",1964,
Hungary,HUN,"Unemployment, total (% of total labor force)",1964,
Iceland,ISL,"Unemployment, total (% of total labor force)",1964,
India,IND,"Unemployment, total (% of total labor force)",1964,
Indonesia,IDN,"Unemployment, total (% of total labor force)",1964,
"Iran, Islamic Rep.",IRN,"Unemployment, total (% of total labor force)",1964,
Iraq,IRQ,"Unemployment, total (% of total labor force)",1964,
Ireland,IRL,"Unemployment, total (% of total labor force)",1964,
Isle of Man,IMY,"Unemployment, total (% of total labor force)",1964,
Israel,ISR,"Unemployment, total (% of total labor force)",1964,
Italy,ITA,"Unemployment, total (% of total labor force)",1964,
Jamaica,JAM,"Unemployment, total (% of total labor force)",1964,
Japan,JPN,"Unemployment, total (% of total labor force)",1964,
Jordan,JOR,"Unemployment, total (% of total labor force)",1964,
Kazakhstan,KAZ,"Unemployment, total (% of total labor force)",1964,
Kenya,KEN,"Unemployment, total (% of total labor force)",1964,
Kiribati,KIR,"Unemployment, total (% of total labor force)",1964,
"Korea, Dem. People’s Rep.",PRK,"Unemployment, total (% of total labor force)",1964,
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force)",1964,
Kosovo,KSV,"Unemployment, total (% of total labor force)",1964,
Kuwait,KWT,"Unemployment, total (% of total labor force)",1964,
Kyrgyz Republic,KGZ,"Unemployment, total (% of total labor force)",1964,
Lao PDR,LAO,"Unemployment, total (% of total labor force)",1964,
Latvia,LVA,"Unemployment, total (% of total labor force)",1964,
Lebanon,LBN,"Unemployment, total (% of total labor force)",1964,
Lesotho,LSO,"Unemployment, total (% of total labor force)",1964,
Liberia,LBR,"Unemployment, total (% of total labor force)",1964,
Libya,LBY,"Unemployment, total (% of total labor force)",1964,
Liechtenstein,LIE,"Unemployment, total (% of total labor force)",1964,
Lithuania,LTU,"Unemployment, total (% of total labor force)",1964,
Luxembourg,LUX,"Unemployment, total (% of total labor force)",1964,
"Macao SAR, China",MAC,"Unemployment, total (% of total labor force)",1964,
"Macedonia, FYR",MKD,"Unemployment, total (% of total labor force)",1964,
Madagascar,MDG,"Unemployment, total (% of total labor force)",1964,
Malawi,MWI,"Unemployment, total (% of total labor force)",1964,
Malaysia,MYS,"Unemployment, total (% of total labor force)",1964,
Maldives,MDV,"Unemployment, total (% of total labor force)",1964,
Mali,MLI,"Unemployment, total (% of total labor force)",1964,
Malta,MLT,"Unemployment, total (% of total labor force)",1964,
Marshall Islands,MHL,"Unemployment, total (% of total labor force)",1964,
Mauritania,MRT,"Unemployment, total (% of total labor force)",1964,
Mauritius,MUS,"Unemployment, total (% of total labor force)",1964,
Mexico,MEX,"Unemployment, total (% of total labor force)",1964,
"Micronesia, Fed. Sts.",FSM,"Unemployment, total (% of total labor force)",1964,
Moldova,MDA,"Unemployment, total (% of total labor force)",1964,
Monaco,MCO,"Unemployment, total (% of total labor force)",1964,
Mongolia,MNG,"Unemployment, total (% of total labor force)",1964,
Montenegro,MNE,"Unemployment, total (% of total labor force)",1964,
Morocco,MAR,"Unemployment, total (% of total labor force)",1964,
Mozambique,MOZ,"Unemployment, total (% of total labor force)",1964,
Myanmar,MMR,"Unemployment, total (% of total labor force)",1964,
Namibia,NAM,"Unemployment, total (% of total labor force)",1964,
Nauru,NRU,"Unemployment, total (% of total labor force)",1964,
Nepal,NPL,"Unemployment, total (% of total labor force)",1964,
Netherlands,NLD,"Unemployment, total (% of total labor force)",1964,
New Caledonia,NCL,"Unemployment, total (% of total labor force)",1964,
New Zealand,NZL,"Unemployment, total (% of total labor force)",1964,
Nicaragua,NIC,"Unemployment, total (% of total labor force)",1964,
Niger,NER,"Unemployment, total (% of total labor force)",1964,
Nigeria,NGA,"Unemployment, total (% of total labor force)",1964,
Northern Mariana Islands,MNP,"Unemployment, total (% of total labor force)",1964,
Norway,NOR,"Unemployment, total (% of total labor force)",1964,
Oman,OMN,"Unemployment, total (% of total labor force)",1964,
Pakistan,PAK,"Unemployment, total (% of total labor force)",1964,
Palau,PLW,"Unemployment, total (% of total labor force)",1964,
Panama,PAN,"Unemployment, total (% of total labor force)",1964,
Papua New Guinea,PNG,"Unemployment, total (% of total labor force)",1964,
Paraguay,PRY,"Unemployment, total (% of total labor force)",1964,
Peru,PER,"Unemployment, total (% of total labor force)",1964,
Philippines,PHL,"Unemployment, total (% of total labor force)",1964,
Poland,POL,"Unemployment, total (% of total labor force)",1964,
Portugal,PRT,"Unemployment, total (% of total labor force)",1964,
Puerto Rico,PRI,"Unemployment, total (% of total labor force)",1964,
Qatar,QAT,"Unemployment, total (% of total labor force)",1964,
Romania,ROM,"Unemployment, total (% of total labor force)",1964,
Russian Federation,RUS,"Unemployment, total (% of total labor force)",1964,
Rwanda,RWA,"Unemployment, total (% of total labor force)",1964,
Samoa,WSM,"Unemployment, total (% of total labor force)",1964,
San Marino,SMR,"Unemployment, total (% of total labor force)",1964,
Sao Tome and Principe,STP,"Unemployment, total (% of total labor force)",1964,
Saudi Arabia,SAU,"Unemployment, total (% of total labor force)",1964,
Senegal,SEN,"Unemployment, total (% of total labor force)",1964,
Serbia,SRB,"Unemployment, total (% of total labor force)",1964,
Seychelles,SYC,"Unemployment, total (% of total labor force)",1964,
Sierra Leone,SLE,"Unemployment, total (% of total labor force)",1964,
Singapore,SGP,"Unemployment, total (% of total labor force)",1964,
Sint Maarten (Dutch part),SXM,"Unemployment, total (% of total labor force)",1964,
Slovak Republic,SVK,"Unemployment, total (% of total labor force)",1964,
Slovenia,SVN,"Unemployment, total (% of total labor force)",1964,
Solomon Islands,SLB,"Unemployment, total (% of total labor force)",1964,
Somalia,SOM,"Unemployment, total (% of total labor force)",1964,
South Africa,ZAF,"Unemployment, total (% of total labor force)",1964,
South Sudan,SSD,"Unemployment, total (% of total labor force)",1964,
Spain,ESP,"Unemployment, total (% of total labor force)",1964,
Sri Lanka,LKA,"Unemployment, total (% of total labor force)",1964,
St. Kitts and Nevis,KNA,"Unemployment, total (% of total labor force)",1964,
St. Lucia,LCA,"Unemployment, total (% of total labor force)",1964,
St. Martin (French part),MAF,"Unemployment, total (% of total labor force)",1964,
St. Vincent and the Grenadines,VCT,"Unemployment, total (% of total labor force)",1964,
Sudan,SDN,"Unemployment, total (% of total labor force)",1964,
Suriname,SUR,"Unemployment, total (% of total labor force)",1964,
Swaziland,SWZ,"Unemployment, total (% of total labor force)",1964,
Sweden,SWE,"Unemployment, total (% of total labor force)",1964,
Switzerland,CHE,"Unemployment, total (% of total labor force)",1964,
Syrian Arab Republic,SYR,"Unemployment, total (% of total labor force)",1964,
Tajikistan,TJK,"Unemployment, total (% of total labor force)",1964,
Tanzania,TZA,"Unemployment, total (% of total labor force)",1964,
Thailand,THA,"Unemployment, total (% of total labor force)",1964,
Timor-Leste,TMP,"Unemployment, total (% of total labor force)",1964,
Togo,TGO,"Unemployment, total (% of total labor force)",1964,
Tonga,TON,"Unemployment, total (% of total labor force)",1964,
Trinidad and Tobago,TTO,"Unemployment, total (% of total labor force)",1964,
Tunisia,TUN,"Unemployment, total (% of total labor force)",1964,
Turkey,TUR,"Unemployment, total (% of total labor force)",1964,
Turkmenistan,TKM,"Unemployment, total (% of total labor force)",1964,
Turks and Caicos Islands,TCA,"Unemployment, total (% of total labor force)",1964,
Tuvalu,TUV,"Unemployment, total (% of total labor force)",1964,
Uganda,UGA,"Unemployment, total (% of total labor force)",1964,
Ukraine,UKR,"Unemployment, total (% of total labor force)",1964,
United Arab Emirates,ARE,"Unemployment, total (% of total labor force)",1964,
United Kingdom,GBR,"Unemployment, total (% of total labor force)",1964,
United States,USA,"Unemployment, total (% of total labor force)",1964,
Uruguay,URY,"Unemployment, total (% of total labor force)",1964,
Uzbekistan,UZB,"Unemployment, total (% of total labor force)",1964,
Vanuatu,VUT,"Unemployment, total (% of total labor force)",1964,
"Venezuela, RB",VEN,"Unemployment, total (% of total labor force)",1964,
Vietnam,VNM,"Unemployment, total (% of total labor force)",1964,
Virgin Islands (U.S.),VIR,"Unemployment, total (% of total labor force)",1964,
West Bank and Gaza,WBG,"Unemployment, total (% of total labor force)",1964,
"Yemen, Rep.",YEM,"Unemployment, total (% of total labor force)",1964,
Zambia,ZMB,"Unemployment, total (% of total labor force)",1964,
Zimbabwe,ZWE,"Unemployment, total (% of total labor force)",1964,
Arab World,ARB,"Unemployment, total (% of total labor force)",1965,
Caribbean small states,CSS,"Unemployment, total (% of total labor force)",1965,
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force)",1965,
Early-demographic dividend,EAR,"Unemployment, total (% of total labor force)",1965,
East Asia & Pacific,EAS,"Unemployment, total (% of total labor force)",1965,
East Asia & Pacific (excluding high income),EAP,"Unemployment, total (% of total labor force)",1965,
East Asia & Pacific (IDA & IBRD countries),TEA,"Unemployment, total (% of total labor force)",1965,
Euro area,EMU,"Unemployment, total (% of total labor force)",1965,
Europe & Central Asia,ECS,"Unemployment, total (% of total labor force)",1965,
Europe & Central Asia (excluding high income),ECA,"Unemployment, total (% of total labor force)",1965,
Europe & Central Asia (IDA & IBRD countries),TEC,"Unemployment, total (% of total labor force)",1965,
European Union,EUU,"Unemployment, total (% of total labor force)",1965,
Fragile and conflict affected situations,FCS,"Unemployment, total (% of total labor force)",1965,
Heavily indebted poor countries (HIPC),HPC,"Unemployment, total (% of total labor force)",1965,
High income,HIC,"Unemployment, total (% of total labor force)",1965,
Late-demographic dividend,LTE,"Unemployment, total (% of total labor force)",1965,
Latin America & Caribbean,LCN,"Unemployment, total (% of total labor force)",1965,
Latin America & Caribbean (excluding high income),LAC,"Unemployment, total (% of total labor force)",1965,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Unemployment, total (% of total labor force)",1965,
Least developed countries: UN classification,LDC,"Unemployment, total (% of total labor force)",1965,
Low & middle income,LMY,"Unemployment, total (% of total labor force)",1965,
Low income,LIC,"Unemployment, total (% of total labor force)",1965,
Lower middle income,LMC,"Unemployment, total (% of total labor force)",1965,
Middle East & North Africa,MEA,"Unemployment, total (% of total labor force)",1965,
Middle East & North Africa (excluding high income),MNA,"Unemployment, total (% of total labor force)",1965,
Middle East & North Africa (IDA & IBRD countries),TMN,"Unemployment, total (% of total labor force)",1965,
Middle income,MIC,"Unemployment, total (% of total labor force)",1965,
North America,NAC,"Unemployment, total (% of total labor force)",1965,
OECD members,OED,"Unemployment, total (% of total labor force)",1965,
Other small states,OSS,"Unemployment, total (% of total labor force)",1965,
Pacific island small states,PSS,"Unemployment, total (% of total labor force)",1965,
Post-demographic dividend,PST,"Unemployment, total (% of total labor force)",1965,
Pre-demographic dividend,PRE,"Unemployment, total (% of total labor force)",1965,
Small states,SST,"Unemployment, total (% of total labor force)",1965,
South Asia,SAS,"Unemployment, total (% of total labor force)",1965,
South Asia (IDA & IBRD),TSA,"Unemployment, total (% of total labor force)",1965,
Sub-Saharan Africa,SSF,"Unemployment, total (% of total labor force)",1965,
Sub-Saharan Africa (excluding high income),SSA,"Unemployment, total (% of total labor force)",1965,
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Unemployment, total (% of total labor force)",1965,
Upper middle income,UMC,"Unemployment, total (% of total labor force)",1965,
World,WLD,"Unemployment, total (% of total labor force)",1965,
Afghanistan,AFG,"Unemployment, total (% of total labor force)",1965,
Albania,ALB,"Unemployment, total (% of total labor force)",1965,
Algeria,DZA,"Unemployment, total (% of total labor force)",1965,
American Samoa,ASM,"Unemployment, total (% of total labor force)",1965,
Andorra,ADO,"Unemployment, total (% of total labor force)",1965,
Angola,AGO,"Unemployment, total (% of total labor force)",1965,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force)",1965,
Argentina,ARG,"Unemployment, total (% of total labor force)",1965,
Armenia,ARM,"Unemployment, total (% of total labor force)",1965,
Aruba,ABW,"Unemployment, total (% of total labor force)",1965,
Australia,AUS,"Unemployment, total (% of total labor force)",1965,
Austria,AUT,"Unemployment, total (% of total labor force)",1965,
Azerbaijan,AZE,"Unemployment, total (% of total labor force)",1965,
"Bahamas, The",BHS,"Unemployment, total (% of total labor force)",1965,
Bahrain,BHR,"Unemployment, total (% of total labor force)",1965,
Bangladesh,BGD,"Unemployment, total (% of total labor force)",1965,
Barbados,BRB,"Unemployment, total (% of total labor force)",1965,
Belarus,BLR,"Unemployment, total (% of total labor force)",1965,
Belgium,BEL,"Unemployment, total (% of total labor force)",1965,
Belize,BLZ,"Unemployment, total (% of total labor force)",1965,
Benin,BEN,"Unemployment, total (% of total labor force)",1965,
Bermuda,BMU,"Unemployment, total (% of total labor force)",1965,
Bhutan,BTN,"Unemployment, total (% of total labor force)",1965,
Bolivia,BOL,"Unemployment, total (% of total labor force)",1965,
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force)",1965,
Botswana,BWA,"Unemployment, total (% of total labor force)",1965,
Brazil,BRA,"Unemployment, total (% of total labor force)",1965,
British Virgin Islands,VGB,"Unemployment, total (% of total labor force)",1965,
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force)",1965,
Bulgaria,BGR,"Unemployment, total (% of total labor force)",1965,
Burkina Faso,BFA,"Unemployment, total (% of total labor force)",1965,
Burundi,BDI,"Unemployment, total (% of total labor force)",1965,
Cabo Verde,CPV,"Unemployment, total (% of total labor force)",1965,
Cambodia,KHM,"Unemployment, total (% of total labor force)",1965,
Cameroon,CMR,"Unemployment, total (% of total labor force)",1965,
Canada,CAN,"Unemployment, total (% of total labor force)",1965,
Cayman Islands,CYM,"Unemployment, total (% of total labor force)",1965,
Central African Republic,CAF,"Unemployment, total (% of total labor force)",1965,
Chad,TCD,"Unemployment, total (% of total labor force)",1965,
Channel Islands,CHI,"Unemployment, total (% of total labor force)",1965,
Chile,CHL,"Unemployment, total (% of total labor force)",1965,
China,CHN,"Unemployment, total (% of total labor force)",1965,
Colombia,COL,"Unemployment, total (% of total labor force)",1965,
Comoros,COM,"Unemployment, total (% of total labor force)",1965,
"Congo, Dem. Rep.",ZAR,"Unemployment, total (% of total labor force)",1965,
"Congo, Rep.",COG,"Unemployment, total (% of total labor force)",1965,
Costa Rica,CRI,"Unemployment, total (% of total labor force)",1965,
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force)",1965,
Croatia,HRV,"Unemployment, total (% of total labor force)",1965,
Cuba,CUB,"Unemployment, total (% of total labor force)",1965,
Curacao,CUW,"Unemployment, total (% of total labor force)",1965,
Cyprus,CYP,"Unemployment, total (% of total labor force)",1965,
Czech Republic,CZE,"Unemployment, total (% of total labor force)",1965,
Denmark,DNK,"Unemployment, total (% of total labor force)",1965,
Djibouti,DJI,"Unemployment, total (% of total labor force)",1965,
Dominica,DMA,"Unemployment, total (% of total labor force)",1965,
Dominican Republic,DOM,"Unemployment, total (% of total labor force)",1965,
Ecuador,ECU,"Unemployment, total (% of total labor force)",1965,
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force)",1965,
El Salvador,SLV,"Unemployment, total (% of total labor force)",1965,
Equatorial Guinea,GNQ,"Unemployment, total (% of total labor force)",1965,
Eritrea,ERI,"Unemployment, total (% of total labor force)",1965,
Estonia,EST,"Unemployment, total (% of total labor force)",1965,
Ethiopia,ETH,"Unemployment, total (% of total labor force)",1965,
Faroe Islands,FRO,"Unemployment, total (% of total labor force)",1965,
Fiji,FJI,"Unemployment, total (% of total labor force)",1965,
Finland,FIN,"Unemployment, total (% of total labor force)",1965,
France,FRA,"Unemployment, total (% of total labor force)",1965,
French Polynesia,PYF,"Unemployment, total (% of total labor force)",1965,
Gabon,GAB,"Unemployment, total (% of total labor force)",1965,
"Gambia, The",GMB,"Unemployment, total (% of total labor force)",1965,
Georgia,GEO,"Unemployment, total (% of total labor force)",1965,
Germany,DEU,"Unemployment, total (% of total labor force)",1965,
Ghana,GHA,"Unemployment, total (% of total labor force)",1965,
Gibraltar,GIB,"Unemployment, total (% of total labor force)",1965,
Greece,GRC,"Unemployment, total (% of total labor force)",1965,
Greenland,GRL,"Unemployment, total (% of total labor force)",1965,
Grenada,GRD,"Unemployment, total (% of total labor force)",1965,
Guam,GUM,"Unemployment, total (% of total labor force)",1965,
Guatemala,GTM,"Unemployment, total (% of total labor force)",1965,
Guinea,GIN,"Unemployment, total (% of total labor force)",1965,
Guinea-Bissau,GNB,"Unemployment, total (% of total labor force)",1965,
Guyana,GUY,"Unemployment, total (% of total labor force)",1965,
Haiti,HTI,"Unemployment, total (% of total labor force)",1965,
Honduras,HND,"Unemployment, total (% of total labor force)",1965,
"Hong Kong SAR, China",HKG,"Unemployment, total (% of total labor force)",1965,
Hungary,HUN,"Unemployment, total (% of total labor force)",1965,
Iceland,ISL,"Unemployment, total (% of total labor force)",1965,
India,IND,"Unemployment, total (% of total labor force)",1965,
Indonesia,IDN,"Unemployment, total (% of total labor force)",1965,
"Iran, Islamic Rep.",IRN,"Unemployment, total (% of total labor force)",1965,
Iraq,IRQ,"Unemployment, total (% of total labor force)",1965,
Ireland,IRL,"Unemployment, total (% of total labor force)",1965,
Isle of Man,IMY,"Unemployment, total (% of total labor force)",1965,
Israel,ISR,"Unemployment, total (% of total labor force)",1965,
Italy,ITA,"Unemployment, total (% of total labor force)",1965,
Jamaica,JAM,"Unemployment, total (% of total labor force)",1965,
Japan,JPN,"Unemployment, total (% of total labor force)",1965,
Jordan,JOR,"Unemployment, total (% of total labor force)",1965,
Kazakhstan,KAZ,"Unemployment, total (% of total labor force)",1965,
Kenya,KEN,"Unemployment, total (% of total labor force)",1965,
Kiribati,KIR,"Unemployment, total (% of total labor force)",1965,
"Korea, Dem. People’s Rep.",PRK,"Unemployment, total (% of total labor force)",1965,
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force)",1965,
Kosovo,KSV,"Unemployment, total (% of total labor force)",1965,
Kuwait,KWT,"Unemployment, total (% of total labor force)",1965,
Kyrgyz Republic,KGZ,"Unemployment, total (% of total labor force)",1965,
Lao PDR,LAO,"Unemployment, total (% of total labor force)",1965,
Latvia,LVA,"Unemployment, total (% of total labor force)",1965,
Lebanon,LBN,"Unemployment, total (% of total labor force)",1965,
Lesotho,LSO,"Unemployment, total (% of total labor force)",1965,
Liberia,LBR,"Unemployment, total (% of total labor force)",1965,
Libya,LBY,"Unemployment, total (% of total labor force)",1965,
Liechtenstein,LIE,"Unemployment, total (% of total labor force)",1965,
Lithuania,LTU,"Unemployment, total (% of total labor force)",1965,
Luxembourg,LUX,"Unemployment, total (% of total labor force)",1965,
"Macao SAR, China",MAC,"Unemployment, total (% of total labor force)",1965,
"Macedonia, FYR",MKD,"Unemployment, total (% of total labor force)",1965,
Madagascar,MDG,"Unemployment, total (% of total labor force)",1965,
Malawi,MWI,"Unemployment, total (% of total labor force)",1965,
Malaysia,MYS,"Unemployment, total (% of total labor force)",1965,
Maldives,MDV,"Unemployment, total (% of total labor force)",1965,
Mali,MLI,"Unemployment, total (% of total labor force)",1965,
Malta,MLT,"Unemployment, total (% of total labor force)",1965,
Marshall Islands,MHL,"Unemployment, total (% of total labor force)",1965,
Mauritania,MRT,"Unemployment, total (% of total labor force)",1965,
Mauritius,MUS,"Unemployment, total (% of total labor force)",1965,
Mexico,MEX,"Unemployment, total (% of total labor force)",1965,
"Micronesia, Fed. Sts.",FSM,"Unemployment, total (% of total labor force)",1965,
Moldova,MDA,"Unemployment, total (% of total labor force)",1965,
Monaco,MCO,"Unemployment, total (% of total labor force)",1965,
Mongolia,MNG,"Unemployment, total (% of total labor force)",1965,
Montenegro,MNE,"Unemployment, total (% of total labor force)",1965,
Morocco,MAR,"Unemployment, total (% of total labor force)",1965,
Mozambique,MOZ,"Unemployment, total (% of total labor force)",1965,
Myanmar,MMR,"Unemployment, total (% of total labor force)",1965,
Namibia,NAM,"Unemployment, total (% of total labor force)",1965,
Nauru,NRU,"Unemployment, total (% of total labor force)",1965,
Nepal,NPL,"Unemployment, total (% of total labor force)",1965,
Netherlands,NLD,"Unemployment, total (% of total labor force)",1965,
New Caledonia,NCL,"Unemployment, total (% of total labor force)",1965,
New Zealand,NZL,"Unemployment, total (% of total labor force)",1965,
Nicaragua,NIC,"Unemployment, total (% of total labor force)",1965,
Niger,NER,"Unemployment, total (% of total labor force)",1965,
Nigeria,NGA,"Unemployment, total (% of total labor force)",1965,
Northern Mariana Islands,MNP,"Unemployment, total (% of total labor force)",1965,
Norway,NOR,"Unemployment, total (% of total labor force)",1965,
Oman,OMN,"Unemployment, total (% of total labor force)",1965,
Pakistan,PAK,"Unemployment, total (% of total labor force)",1965,
Palau,PLW,"Unemployment, total (% of total labor force)",1965,
Panama,PAN,"Unemployment, total (% of total labor force)",1965,
Papua New Guinea,PNG,"Unemployment, total (% of total labor force)",1965,
Paraguay,PRY,"Unemployment, total (% of total labor force)",1965,
Peru,PER,"Unemployment, total (% of total labor force)",1965,
Philippines,PHL,"Unemployment, total (% of total labor force)",1965,
Poland,POL,"Unemployment, total (% of total labor force)",1965,
Portugal,PRT,"Unemployment, total (% of total labor force)",1965,
Puerto Rico,PRI,"Unemployment, total (% of total labor force)",1965,
Qatar,QAT,"Unemployment, total (% of total labor force)",1965,
Romania,ROM,"Unemployment, total (% of total labor force)",1965,
Russian Federation,RUS,"Unemployment, total (% of total labor force)",1965,
Rwanda,RWA,"Unemployment, total (% of total labor force)",1965,
Samoa,WSM,"Unemployment, total (% of total labor force)",1965,
San Marino,SMR,"Unemployment, total (% of total labor force)",1965,
Sao Tome and Principe,STP,"Unemployment, total (% of total labor force)",1965,
Saudi Arabia,SAU,"Unemployment, total (% of total labor force)",1965,
Senegal,SEN,"Unemployment, total (% of total labor force)",1965,
Serbia,SRB,"Unemployment, total (% of total labor force)",1965,
Seychelles,SYC,"Unemployment, total (% of total labor force)",1965,
Sierra Leone,SLE,"Unemployment, total (% of total labor force)",1965,
Singapore,SGP,"Unemployment, total (% of total labor force)",1965,
Sint Maarten (Dutch part),SXM,"Unemployment, total (% of total labor force)",1965,
Slovak Republic,SVK,"Unemployment, total (% of total labor force)",1965,
Slovenia,SVN,"Unemployment, total (% of total labor force)",1965,
Solomon Islands,SLB,"Unemployment, total (% of total labor force)",1965,
Somalia,SOM,"Unemployment, total (% of total labor force)",1965,
South Africa,ZAF,"Unemployment, total (% of total labor force)",1965,
South Sudan,SSD,"Unemployment, total (% of total labor force)",1965,
Spain,ESP,"Unemployment, total (% of total labor force)",1965,
Sri Lanka,LKA,"Unemployment, total (% of total labor force)",1965,
St. Kitts and Nevis,KNA,"Unemployment, total (% of total labor force)",1965,
St. Lucia,LCA,"Unemployment, total (% of total labor force)",1965,
St. Martin (French part),MAF,"Unemployment, total (% of total labor force)",1965,
St. Vincent and the Grenadines,VCT,"Unemployment, total (% of total labor force)",1965,
Sudan,SDN,"Unemployment, total (% of total labor force)",1965,
Suriname,SUR,"Unemployment, total (% of total labor force)",1965,
Swaziland,SWZ,"Unemployment, total (% of total labor force)",1965,
Sweden,SWE,"Unemployment, total (% of total labor force)",1965,
Switzerland,CHE,"Unemployment, total (% of total labor force)",1965,
Syrian Arab Republic,SYR,"Unemployment, total (% of total labor force)",1965,
Tajikistan,TJK,"Unemployment, total (% of total labor force)",1965,
Tanzania,TZA,"Unemployment, total (% of total labor force)",1965,
Thailand,THA,"Unemployment, total (% of total labor force)",1965,
Timor-Leste,TMP,"Unemployment, total (% of total labor force)",1965,
Togo,TGO,"Unemployment, total (% of total labor force)",1965,
Tonga,TON,"Unemployment, total (% of total labor force)",1965,
Trinidad and Tobago,TTO,"Unemployment, total (% of total labor force)",1965,
Tunisia,TUN,"Unemployment, total (% of total labor force)",1965,
Turkey,TUR,"Unemployment, total (% of total labor force)",1965,
Turkmenistan,TKM,"Unemployment, total (% of total labor force)",1965,
Turks and Caicos Islands,TCA,"Unemployment, total (% of total labor force)",1965,
Tuvalu,TUV,"Unemployment, total (% of total labor force)",1965,
Uganda,UGA,"Unemployment, total (% of total labor force)",1965,
Ukraine,UKR,"Unemployment, total (% of total labor force)",1965,
United Arab Emirates,ARE,"Unemployment, total (% of total labor force)",1965,
United Kingdom,GBR,"Unemployment, total (% of total labor force)",1965,
United States,USA,"Unemployment, total (% of total labor force)",1965,
Uruguay,URY,"Unemployment, total (% of total labor force)",1965,
Uzbekistan,UZB,"Unemployment, total (% of total labor force)",1965,
Vanuatu,VUT,"Unemployment, total (% of total labor force)",1965,
"Venezuela, RB",VEN,"Unemployment, total (% of total labor force)",1965,
Vietnam,VNM,"Unemployment, total (% of total labor force)",1965,
Virgin Islands (U.S.),VIR,"Unemployment, total (% of total labor force)",1965,
West Bank and Gaza,WBG,"Unemployment, total (% of total labor force)",1965,
"Yemen, Rep.",YEM,"Unemployment, total (% of total labor force)",1965,
Zambia,ZMB,"Unemployment, total (% of total labor force)",1965,
Zimbabwe,ZWE,"Unemployment, total (% of total labor force)",1965,
Arab World,ARB,"Unemployment, total (% of total labor force)",1966,
Caribbean small states,CSS,"Unemployment, total (% of total labor force)",1966,
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force)",1966,
Early-demographic dividend,EAR,"Unemployment, total (% of total labor force)",1966,
East Asia & Pacific,EAS,"Unemployment, total (% of total labor force)",1966,
East Asia & Pacific (excluding high income),EAP,"Unemployment, total (% of total labor force)",1966,
East Asia & Pacific (IDA & IBRD countries),TEA,"Unemployment, total (% of total labor force)",1966,
Euro area,EMU,"Unemployment, total (% of total labor force)",1966,
Europe & Central Asia,ECS,"Unemployment, total (% of total labor force)",1966,
Europe & Central Asia (excluding high income),ECA,"Unemployment, total (% of total labor force)",1966,
Europe & Central Asia (IDA & IBRD countries),TEC,"Unemployment, total (% of total labor force)",1966,
European Union,EUU,"Unemployment, total (% of total labor force)",1966,
Fragile and conflict affected situations,FCS,"Unemployment, total (% of total labor force)",1966,
Heavily indebted poor countries (HIPC),HPC,"Unemployment, total (% of total labor force)",1966,
High income,HIC,"Unemployment, total (% of total labor force)",1966,
Late-demographic dividend,LTE,"Unemployment, total (% of total labor force)",1966,
Latin America & Caribbean,LCN,"Unemployment, total (% of total labor force)",1966,
Latin America & Caribbean (excluding high income),LAC,"Unemployment, total (% of total labor force)",1966,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Unemployment, total (% of total labor force)",1966,
Least developed countries: UN classification,LDC,"Unemployment, total (% of total labor force)",1966,
Low & middle income,LMY,"Unemployment, total (% of total labor force)",1966,
Low income,LIC,"Unemployment, total (% of total labor force)",1966,
Lower middle income,LMC,"Unemployment, total (% of total labor force)",1966,
Middle East & North Africa,MEA,"Unemployment, total (% of total labor force)",1966,
Middle East & North Africa (excluding high income),MNA,"Unemployment, total (% of total labor force)",1966,
